Job Title,Job Type,Contractor Tier
Need a Flutter/Dart Developer to add a review feature on the course detail page.,Fixed-price,Expert
"RFQ for Flutter iOS/Android App (Prototype Done, w/Source Code) Approx. 80-100 Screens See RFQ PDF",Hourly: $15-$30,Intermediate
iOS Developer Node.js + Flutter,Hourly: $40-$70,Intermediate
Need a App Developer: Flutter,Fixed-price,Intermediate
Flutter and nestjs developer,Fixed-price,Expert
Flutter Mobile Developer,Hourly: $10-$30,Expert
DevOps needed for a FinTech startup!,Hourly: $20-$35,Entry level
Flutter and nestjs developer,Fixed-price,Expert
Experienced Flutter and iOS Developer Needed,Hourly: $15-$30,Intermediate
Senior Flutter Developer - Mobile,Hourly: $65-$85,Expert
Flutter mobile app developer android and iOS.,Fixed-price,Intermediate
Create dynamic drop-downs with FlutterFlow,Hourly: $15-$30,Intermediate
In flutter app you need to parse the binary data to a chart.,Hourly: $10-$15,Expert
Flutter dog app bug fixes,Fixed-price,Expert
Developer is needed!,Hourly: $15-$30,Intermediate
Video calling feature using flutter and firebase,Fixed-price,Intermediate
Need a flutter Developer,Hourly: $5-$27,Intermediate
Senior Developer - Tech Startup,Fixed-price,Expert
Flutter & dart expert,Hourly: $3-$10,Expert
"""Urgent: Mobile Development Freelancers Wanted for Item Rental App Project",Fixed-price,Expert
Flutter APP - Frontend,Fixed-price,Intermediate
Looking for Full Stack Dev.,Hourly: $15-$30,Intermediate
Flutter developer to fix and maintain an existing app,Hourly: $10-$15,Intermediate
Experienced Flutter Developer Needed,Hourly: $15-$35,Expert
Build a cocktail web app based on the existing Android app,Hourly: $15-$60,Intermediate
Flutter project compile apk/do minor changes/publish,Fixed-price,Expert
Fully Functional Complete Flutter App Needed,Fixed-price,Expert
"create an app to launch and manage sponsored ads on FB, IG, Snapchat, and Tiktok.",Fixed-price,Expert
Senior Flutter Developer,Hourly: $30-$34,Expert
Flutter Developer,Hourly: $15-$30,Intermediate
Laravel Developer Needed For API Work,Fixed-price,Intermediate
"Build Responsive Flutter App (Ios, Android): Texting App",Fixed-price,Entry level
Flutter Developer for a Healthcare App,Hourly: $65-$100,Expert
Camera settings app to set back camera as default for all 3rd party video call,Fixed-price,Intermediate
SSH over SSL/TLS Vpn for ios and android using flutter,Hourly: $5-$10,Intermediate
Flutter App Redesign & Development,Fixed-price,Intermediate
Flutter Developer Needed,Hourly,Expert
Make Full flutter,Hourly: $26-$39,Intermediate
Make Full flutter,Hourly: $26-$39,Intermediate
Flutter / Graphql E-Commerce Project,Hourly,Intermediate
Make Full flutter,Hourly: $26-$39,Intermediate
"Mobile App developer (Backend) Laravel, NoSQL, mySQL, API, digital ocean, Flutter",Hourly: $5-$15,Expert
Build flutter app with backend,Fixed-price,Intermediate
Full-stack Software Developer,Hourly: $15-$20,Intermediate
Money pooling or Save money app,Fixed-price,Expert
"Build in inhouse equipment rental app in flutter, ONLY with SOLO Dev",Fixed-price,Entry level
Looking for Hybrid Mobile App developer,Hourly: $40-$60,Expert
Building IPTV Mobil app using Kotlin,Fixed-price,Expert
Flutter Developer,Hourly: $7-$9,Intermediate
Flutter package for image filters,Fixed-price,Expert
Looking for short term Flutter developer - 3-5 days work in Greece,Fixed-price,Expert
"Rebuilding an Android App with Flutter for Android, iOS, Win, Mac",Hourly: $20-$60,Expert
Flutter Developer,Hourly,Expert
Looking for Full Stack Dev.,Hourly: $15-$30,Intermediate
Flutter project compile apk/do minor changes/publish,Fixed-price,Expert
Android and IOS App,Fixed-price,Intermediate
Flutter App for the access system device,Hourly: $15-$20,Intermediate
Android App Improvement,Fixed-price,Intermediate
Flutter Developer,Hourly: $5-$30,Intermediate
Real-Estate website using flutter,Fixed-price,Intermediate
Looking for Flutter animation expert,Hourly: $25-$40,Intermediate
Looking for Flutter animation expert,Hourly: $25-$40,Intermediate
Looking for Flutter animation expert,Hourly: $25-$40,Intermediate
Looking for Flutter Developer,Hourly: $15-$30,Intermediate
QUICK MONEY: Flutter developer needed for pitch detection in realtime for a music,Hourly,Intermediate
Frontend Flutter Developer,Hourly: $20-$30,Expert
Looking for a Flutter developer to continue to build my website,Fixed-price,Expert
Senior Flutter Developer - Mobile,Hourly: $20-$30,Expert
Senior Flutter Developer,Hourly: $20-$30,Expert
Improve the performance of a Flutter-based website,Fixed-price,Expert
Flutter Developer for frontend work,Fixed-price,Intermediate
Flutter or React native developer from Europe_will provide UI designs,Fixed-price,Expert
Flutter Dev for long term project,Hourly: $15-$30,Intermediate
Custom website + mobile apps (ios/android) for a e- ecommerce marketplace,Hourly: $15-$65,Expert
Flutter Dev for long term project,Hourly: $15-$30,Intermediate
Flutter Developer experienced,Hourly,Intermediate
Flutter CTO - Monogamish,Hourly: $25-$45,Expert
FlutterFlow Social Media App with AI integration,Hourly,Intermediate
Looking for a Flutter app developer team to fix and improve current project,Fixed-price,Expert
Mobile App Development,Hourly: $10-$20,Entry level
Flutter app streamling and redesign,Hourly: $50-$90,Expert
Custom website + mobile apps (ios/android) for a service marketplace,Hourly: $25-$40,Intermediate
Buy your standard geofence app,Fixed-price,Intermediate
Build app for Fitness Club Network. Crossplatform. iOS and Android versions needed,Fixed-price,Intermediate
Mobile Ui/Ux design for saas application,Hourly: $17-$35,Intermediate
Simple mobile app,Hourly,Intermediate
Develop an app using Flutter,Hourly: $5-$15,Intermediate
Flutter Developer,Fixed-price,Intermediate
Ruby on Rails + Flutter,Hourly,Expert
Build a flutter app for car parts,Fixed-price,Intermediate
Update a Flutter Application to use the latest flutter/dart versions,Fixed-price,Intermediate
Integrate Stripe Connect with FlutterFlow app project.,Hourly: $15-$35,Intermediate
Seeking a Flutterflow developer to complete an MVP for a Health and Wellness app,Hourly: $15-$25,Intermediate
Build a responsive flutter app,Fixed-price,Intermediate
Looking for Android developers,Hourly: $3-$10,Expert
Flutter Mobile Application Developer || Hot or Not || Remote,Hourly,Expert
Expert Flutter Developer,Hourly: $25-$100,Expert
We need full stack Developer!,Hourly: $15-$30,Intermediate
Add a subscription option in Flutter grocery app purchased from Codecanyon,Fixed-price,Intermediate
Looking for Flutter Developer,Hourly: $15-$30,Intermediate
Cross-platform app development on Flutter,Hourly: $20-$35,Expert
App Developer for Cold Cramps,Hourly: $20-$40,Expert
Build an OTT Video streaming Mobile application and Web application using Flutter. (Kids Netflix),Fixed-price,Intermediate
Flutter Web Developer (Front End Development),Hourly: $5-$6,Intermediate
Flutter Developer for IOS build and store listing,Fixed-price,Expert
Flutter Developer,Fixed-price,Intermediate
Flutter developer,Fixed-price,Expert
Work on partially done flutter project,Fixed-price,Intermediate
App Development,Hourly,Intermediate
Mobile App Developer,Hourly: $50-$71,Intermediate
The Android app will be in React Native / Flutter,Hourly: $27-$41,Intermediate
Flutter Developer Needed Immediately for App Fixes,Fixed-price,Expert
Flutter app Desktop POS,Hourly: $30-$42,Intermediate
Flutter app Desktop POS,Hourly: $30-$42,Intermediate
Adding features to fluxstore app (woocommerce),Fixed-price,Expert
Flutter Developer,Hourly: $10-$45,Expert
Flutter developer,Hourly: $5-$10,Intermediate
Real-Estate website and application using flutter,Fixed-price,Intermediate
The Android app will be in React Native / Flutter,Hourly: $27-$41,Intermediate
The Android app will be in React Native / Flutter,Hourly: $27-$41,Intermediate
Flutter app Desktop POS,Hourly: $30-$42,Intermediate
Flutter/Dart Engineer,Hourly: $35-$65,Expert
Continued Development and Implementation of Sleep Tracking Features for iOS and WatchOS,Fixed-price,Expert
Flutter fixed and improvements,Hourly,Intermediate
Build Mobile Apps Point Of Sales (Multi Outlets) with Flutter + Laravel Backend,Fixed-price,Intermediate
Flutter Developer Needed to Complete Existing App and Deploy to App stores,Hourly,Expert
Mobile App Developers,Hourly: $25-$45,Expert
We need full stack Developer!,Hourly: $15-$30,Intermediate
Simple task management system using Django and Flutter (fullstack developer),Fixed-price,Intermediate
Tinder Clone Script,Fixed-price,Expert
Build a mobile pairing app,Hourly: $20-$45,Expert
Developer needed for end to end mobile app development,Fixed-price,Intermediate
Development of the RTL version of the Flutter app,Fixed-price,Intermediate
Flutter developer required for a task,Fixed-price,Intermediate
Develop from scratch PWA VueJs app (only frontend),Hourly: $5-$15,Intermediate
Looking for Flutter Developer,Hourly: $15-$30,Intermediate
"Hybrid Developer with knowledge on Cordova, Flutter, React, Xamarin to test our cross platform SDK's",Hourly,Intermediate
Wordpress + Flutter - Ecommerce website,Fixed-price,Intermediate
Senior Flutter/Dart Engineer,Hourly: $45-$52,Expert
A flutter developer needed to develop a mobile application with mock-ups,Fixed-price,Intermediate
Looking for flutter dev,Hourly: $10-$27,Expert
Build Laravel application linked to Postgres database,Hourly: $45-$60,Expert
Angular and Flutter Application Developer,Hourly: $12-$25,Entry level
Flutter developer for web apps,Hourly: $10,Intermediate
Full Stack App Developer (Flutter),Hourly: $25-$47,Expert
Looking for flexible Flutter developer located in VIetnam,Fixed-price,Intermediate
Flutter developer needed to connect with Rest API,Fixed-price,Intermediate
Application pour film et série et musique,Fixed-price,Expert
Brazilian Marketplace Project aimed at manufacturers and suppliers.,Fixed-price,Intermediate
We need a flutter developer to fix some bugs in our application.,Fixed-price,Entry level
APP TO MAKE SALES ROUTES WITH GEOLOCATION OF CUSTOMERS AND MONITORING from seller user,Fixed-price,Intermediate
"API Integration (Flutter, React Native)",Hourly: $15-$40,Expert
Experienced Flutter Developer Required for Long Term Development Support,Fixed-price,Intermediate
Build a Mobile app with maps feature like uber,Fixed-price,Entry level
Flutter - Server Driven UI,Hourly: $25-$45,Expert
Need help with a Flutterflow application,Fixed-price,Intermediate
Front-end Developer /Flutter / Mobile App Developer,Fixed-price,Expert
Swift expert debugging help,Hourly,Expert
Android developer needed,Fixed-price,Entry level
Looking For Flutter Developer,Fixed-price,Expert
Mobile app is a cooperative card game,Hourly: $15-$25,Intermediate
Android/iOS App Development,Fixed-price,Intermediate
Need to convert an existing template of cleaning app to a website and app,Fixed-price,Expert
Social Media Application (Flutter Application),Hourly,Intermediate
Emulator own mifareclassic FLUTTER,Hourly: $31-$39,Intermediate
Emulator own mifareclassic FLUTTER,Hourly: $31-$39,Intermediate
Emulator own mifareclassic FLUTTER,Hourly: $31-$39,Intermediate
Meditation App: Backend Flutter Developer familiar w/ FlutterFlow Needed to Get App Ready to Market,Hourly: $30-$40,Intermediate
Flutter / Firebase developer to convert web project into native app,Fixed-price,Intermediate
Android Trainer with hands-on experience in Flutter/Xamarin/Firebase. Location Bengaluru.,Hourly,Intermediate
Need help developing a voice to text clarity app,Hourly,Intermediate
FLUTTER DEVELOPER needed to implement push notification without firebase,Hourly,Intermediate
Figma (done) - Flutter - Fully Functional (48 Hours),Hourly,Expert
Integrate extensive geolocation to existing flutter app,Hourly,Expert
Need help with Flutter Stripe integration.,Hourly: $25-$45,Expert
Flutter Developer needed for video conference connection,Fixed-price,Intermediate
Build a simple game app,Hourly: $12-$18,Intermediate
"Multivendor ios,android app and website (open for price negotiations)",Fixed-price,Intermediate
Flutter Flow App,Hourly: $25-$45,Expert
Help build a Android demo app,Fixed-price,Entry level
Flutter & firebase developer,Hourly: $15-$30,Intermediate
Flutter Developer,Hourly: $15-$30,Expert
Handling payments and payouts in marketplace mobile App,Fixed-price,Intermediate
Need a flutter expert,Fixed-price,Intermediate
Mobile App Creation,Hourly: $25-$45,Expert
Application programming in Arabic and English is required,Hourly: $20-$50,Expert
Flutter / Dart Developer,Fixed-price,Intermediate
Expert Flutter Developer for made changes in our current application,Fixed-price,Expert
Flutter Mobile Developer - Full Time,Hourly: $6,Intermediate
Looking for FlutterFlow Expert,Hourly: $15-$40,Expert
Invitation Card Maker App for iOS & Android - Flutter Developer Only,Fixed-price,Intermediate
Simple Game Development in Java/Kotlin/Flutter,Fixed-price,Entry level
Need a Developer who have experience with Apple app clips,Fixed-price,Expert
Flutter Expert Developer,Hourly: $15-$45,Expert
Integrate admob open in flutter project and small update in native ads,Fixed-price,Intermediate
Looking to improve flutter app performance,Hourly: $4-$6,Expert
Rental company app flutter,Fixed-price,Entry level
Flutter Developer for small project,Hourly: $4-$8,Entry level
Flutter + Laravel Developer needed,Fixed-price,Intermediate
Flutter/Dart Developer,Hourly: $15-$30,Intermediate
Looking for an expert Flutter and Laravel developer,Hourly: $25-$47,Expert
Flutter Training Needed - Just Purchased Android App,Hourly: $12-$25,Entry level
Develop a Flutter app: front end and backend,Fixed-price,Intermediate
Ios App build using Flutterflow.io to create recording app,Fixed-price,Entry level
App designer,Hourly: $15-$50,Intermediate
Fix Flutter App to Publish an iOS version,Fixed-price,Entry level
"Need Bug fix quickly, uses typescript&GraphQLClient to call apis on existing app/Mac & iphone NEEDED",Fixed-price,Expert
Flutter developer for iOS/Android app with RESTful and SSE,Hourly: $15-$50,Intermediate
Flutter Flow App Developer,Fixed-price,Intermediate
Help submitting Flutter app to Google Play store,Hourly: $70-$100,Expert
Mobile development,Hourly: $10-$15,Intermediate
Insurance app developer- web or mobile,Fixed-price,Expert
Developer needed for mobile app (Android+iOS) | Flutter + Firestore + Google Cloud NLP,Fixed-price,Intermediate
Mobile Rental Application (Download) - E-commerce functionality (similar to food delivery) x2,Fixed-price,Intermediate
Looking for mobile app developer,Fixed-price,Expert
Mobile app development,Fixed-price,Expert
"Healthcare institution indoor mapping, navigation & positioning software by BLE device",Fixed-price,Intermediate
Flutter App,Hourly: $25-$45,Expert
PHP and Flutter Mobile Developer for a Healthcare Mobile application,Fixed-price,Expert
Android App Development,Fixed-price,Intermediate
App just like dubizzle.com,Hourly: $15-$30,Expert
Extract data from a Flutter firebase App via reverse engineering,Fixed-price,Expert
Android application,Fixed-price,Intermediate
Make mobile app in Flutter,Hourly,Intermediate
Improve UI of an Existing App and make it look professional,Fixed-price,Intermediate
Flutter Developer (No agency),Fixed-price,Expert
Flutter App Developer needed!,Hourly: $15-$35,Intermediate
Flutterflow developer needed for green field dating app,Hourly: $15-$30,Intermediate
We are looking for a mobile app developer to develop an app with Flutter,Hourly: $12-$25,Entry level
Build me a Delivery System App,Fixed-price,Intermediate
Develop application for earth moving equipment distributor,Hourly: $15-$30,Intermediate
Publish Flutter App to my Play Store,Fixed-price,Intermediate
Real-time Crypto trading simulator application,Fixed-price,Expert
Improve performance of an Existing App and make it look professional,Fixed-price,Intermediate
Car-washing Mobile app,Hourly,Expert
Flutter With NFC,Fixed-price,Intermediate
Flutter app for restaurant ordering using php api to backend database,Fixed-price,Entry level
Backend Software Engineer (3yrs+),Hourly: $4-$15,Intermediate
Modifying and Configuring a Flutter App,Hourly: $25-$45,Expert
Convert existing ios app to flutter,Hourly,Expert
Flutter App with Full Stack Project MVP,Fixed-price,Expert
"Build an Asterisk for WebRTC with PJSIP, h264 video",Fixed-price,Expert
Flutter Developer,Hourly: $50-$70,Expert
InfixEdu - Open Source Flutter for Android & iOS,Hourly: $12-$25,Entry level
Full Stack Developer - asp.net & Flutter,Hourly: $5-$30,Intermediate
Ios release app,Fixed-price,Intermediate
I need someone to make an android and iphone app for me,Fixed-price,Intermediate
Flutter Animation Expert,Hourly: $25-$50,Expert
FLUTTER APP must be deployed TO APP STORE AND ANDROID STORE,Fixed-price,Entry level
Flutter Developer needed to complete app and create website for app. Source code available,Fixed-price,Intermediate
Mobile App Developer Needed to Migrate Legacy Kotlin and Swift Codebases to Flutter,Hourly: $46-$68,Intermediate
convert script php to Saas,Fixed-price,Intermediate
Need to Develop SaaS based Wellness Product,Fixed-price,Expert
Flutter Developer,Hourly: $5-$25,Expert
I have an App designed by Flutter I need to publish on iOS by Arabic and Eng name,Fixed-price,Entry level
Optimise flutter web app to have page speed score higher than 80,Fixed-price,Intermediate
Flutter Developer with PHP+ Laravel Skill to build an E-learning App.,Fixed-price,Intermediate
Android iOS app publishing,Fixed-price,Expert
Flutter Developer,Fixed-price,Expert
Flutter - Svelte & Firebase Realtime Database Developer FULL STACK,Hourly: $80-$140,Intermediate
Google sign in on exsisting flutter project,Fixed-price,Intermediate
Code review specialist to review app using MySQL,Hourly: $35-$55,Intermediate
"Build complete flutter app for iOs, Android and web",Fixed-price,Expert
Frontend Developer to integrate Web and Mobile Template to E-Commerce SAAS platform marketplace,Hourly: $10-$20,Intermediate
(Urgent) Integrate Facebook Ads SDK and Pixel into Flutter App,Fixed-price,Expert
Senior iOS Engineer (Airbnb),Hourly: $70-$75,Expert
Looking for a Flutter / Dart Developer,Hourly: $25-$45,Expert
"Flutter Developer to implement new APIs, fix some bugs, change some features and add some UI left",Fixed-price,Expert
Flutterflow App Build,Hourly: $15-$35,Intermediate
Flutter Developer,Hourly: $10-$20,Expert
Looking for Mobile Developer to fix issue on Flutter aplication,Fixed-price,Intermediate
Flutter Flow Developer (Web & Mobile Apps),Hourly: $15-$30,Intermediate
Developper for IOS and Android app,Fixed-price,Intermediate
FFMPEG Programmer - Library Customization,Hourly: $45-$65,Expert
Build iOS & Android Mobile Apps for a Payment Product using Flutterflow and Flutter,Hourly: $15-$30,Intermediate
iOS/Android - Create dating app (Tinder clone),Hourly,Expert
Flutter developer,Hourly: $25-$45,Expert
Reskin codcanyon flutter mobile app,Fixed-price,Intermediate
"ERPNext Installation, Customization and Mobile App using Flutter",Hourly,Expert
React Native Developer,Hourly,Intermediate
Flutter Task for my App,Fixed-price,Intermediate
App Developer / react / flutter,Fixed-price,Intermediate
Flutter Application with Firebase connection Ready to Publish,Hourly,Expert
UX UI for Mobile App,Hourly: $5-$20,Intermediate
UI/UX Designer for Flutter Mobile App,Hourly,Expert
Flutter developer with Bloc pattern for multiple small tasks,Fixed-price,Intermediate
"Want a stable long-term job, with nice friendly people? Get a Flutter developer job with us.",Hourly: $10-$20,Expert
Flutter Mobile Developer,Fixed-price,Expert
Building mobile app and website,Fixed-price,Intermediate
Flutter developer,Fixed-price,Intermediate
Flutter Mobile Developer for Kids' E-Learning App,Hourly: $25-$45,Expert
Looking for Flutter developer,Hourly: $5-$10,Entry level
How to read Cookies Data from api in Flutter,Fixed-price,Intermediate
Flutter Developer,Hourly: $10-$30,Intermediate
Flutter based Mobile App Developer,Hourly: $10-$25,Intermediate
Hiring Developer flutter,Fixed-price,Expert
Hybrid app developer needed to build app to take appointments online and offline with payment,Fixed-price,Intermediate
Bug fixes flutter(ref:crashlytics) on existing app in stores(need Mac and iphone to test iOS),Fixed-price,Expert
Integrate API in flutter application,Fixed-price,Entry level
Flutter developer needed to improve existing student academic management application,Fixed-price,Intermediate
Expert Flutter,Hourly: $14-$16,Intermediate
Chat app development,Fixed-price,Intermediate
Flutter or React native developer from Europe and Ukraine to build my app-UI design skill is bonus,Fixed-price,Expert
rental and team app build in flutter for web and iOS,Fixed-price,Intermediate
Senior iOS/Android Flutter Developer,Hourly: $15-$30,Intermediate
Need a flutter Developer for resolving few bugs,Fixed-price,Intermediate
I need a serious and good Dart/Flutter Mobile App Development,Fixed-price,Intermediate
Flutter Developer Needed for App Fixes,Fixed-price,Expert
Experienced Flutter Developer for Ongoing Relationship,Hourly: $3-$60,Expert
Restaurant Native App,Fixed-price,Expert
iOS & Android app development,Hourly: $10-$25,Intermediate
Mobile developer needed for a consultation to debug a native app network traffic,Fixed-price,Expert
Flutter develop proof of concept,Fixed-price,Intermediate
Figma to Flutter mobile music player app,Fixed-price,Intermediate
Required flutter developer with bloc state management experience,Hourly: $20-$30,Intermediate
Need an experienced Android developer with NodeJS experience,Fixed-price,Intermediate
Flutter developer,Hourly: $17-$32,Intermediate
Flutter developer and UX expert,Hourly,Intermediate
Flutter Buy Sell Algorithm Settings and Amendment to make it user friendly.,Hourly: $10-$45,Expert
Php laravel and flutter 2.2.3 framework,Fixed-price,Intermediate
Flutter mobile app Category UI enhancement,Hourly: $20-$40,Intermediate
Flutter + Node JS Developer for Mobile APP,Fixed-price,Intermediate
Flutter app developer,Fixed-price,Intermediate
Looking for Flutter Developer,Fixed-price,Intermediate
Flutter developer,Hourly: $25-$45,Expert
"Need Flutter developer for 20-hour work. 2 API Integration, UI changes, and deployment",Hourly: $5-$8,Entry level
Flutter Trainer Required for Experienced Android Developer,Fixed-price,Expert
UX/UI Designer for Flutter Apps,Hourly,Intermediate
"Student Bus Tracking Gps Application-Android,İos,Web Python, Node.Js, Flutter",Fixed-price,Expert
Maintain an existing Delphi FireMonkey (mobile) app and later port it to Flutter (Android & iOS),Hourly: $15-$30,Intermediate
Reactjs Nodejs developer,Fixed-price,Intermediate
Android Application developer using Flutter,Fixed-price,Intermediate
Full Stack Developer for Food Delivery Webapp and SaaS Conversion,Hourly: $15-$30,Intermediate
Need Experienced Flutter and Firebase developer For Making a simple app,Fixed-price,Intermediate
Flutter - Implementation of Isolates/compute inside stack widgets,Fixed-price,Intermediate
Flutter developer and recruiter,Hourly: $9-$20,Intermediate
Social Media App,Hourly: $15-$50,Expert
Film & serie app,Fixed-price,Expert
Flutter App to collect Apple Health data only,Hourly,Intermediate
Flutter Mobile Developer,Hourly: $8-$10,Entry level
Flutter and Firebase Developer,Hourly,Intermediate
(Vollzeit/Teilzeit/Minijob) Erfahrener Flutter App-Entwickler für Minecraft Utility Apps,Hourly,Expert
Real-Estate website and application using flutter,Fixed-price,Intermediate
Flutter Developer,Fixed-price,Intermediate
Programming an app with flutter or pwa,Hourly: $15-$30,Intermediate
Full stack Flutter Developer,Hourly,Intermediate
Mobile Marketplace application development,Hourly,Expert
"Fork Flutter package to make it compatible with Web, Windows & Mac",Hourly,Expert
Run flutter app which was perfectly okay few months ago,Fixed-price,Intermediate
AIS simulator website or app needed,Fixed-price,Expert
Flutter developer required,Fixed-price,Entry level
"full stack developer in Michigan, USA",Hourly: $35-$86,Expert
Senior Mobile Developer (React Native or Flutter),Hourly: $60-$80,Expert
Develop Shadow Task Pro,Fixed-price,Entry level
Experienced Mobile App Developer Wanted for Optimizing Software Development Project,Fixed-price,Expert
Flutter,Fixed-price,Expert
"App Development (Flutter, GPS, Mapbox)",Hourly: $15-$30,Intermediate
Need help publishing mobile app on Google Play Store and Apple AppStore,Fixed-price,Intermediate
Laravel Backend developer,Fixed-price,Expert
Integration of rss feeds automated news aggregator api into android flutter mobile app,Fixed-price,Expert
Senior Mobile Developer at BNN,Hourly: $25-$45,Expert
International calls app,Fixed-price,Expert
Flutter Developer,Fixed-price,Entry level
Flutter Developer,Fixed-price,Expert
Mobile App developer,Fixed-price,Intermediate
Flutter Developer,Hourly: $12-$18,Intermediate
Native android development,Fixed-price,Expert
Flutter developer,Fixed-price,Intermediate
An SNS-like App using Flutter and AWS,Fixed-price,Expert
Flutter Developers for Mobile App Developments,Hourly: $15-$30,Intermediate
"Hello, I want to make an android app. For this I need a skilled app developer.",Hourly: $25-$45,Expert
More money for good work!,Fixed-price,Expert
Mobile application developer,Fixed-price,Expert
Optimize Flutter & Firebase app and add some features,Fixed-price,Intermediate
Music Mobile App / Website,Fixed-price,Intermediate
Build the layout of a mobile app made in flutter,Hourly: $15-$25,Expert
Seeking Fullstack Engineer with Flutter Experience,Hourly: $55-$70,Expert
Senior Flutter Developer,Hourly: $25-$45,Expert
Flutter Developer needed for small notification app,Fixed-price,Entry level
Build a mobile content app with Flutter / Firebase,Hourly,Expert
Simple Job Dispatching App,Fixed-price,Expert
Python AI library for mobile app,Hourly: $20-$40,Expert
"Flutter expert, to build cross-platform app",Fixed-price,Expert
Expert Flutter developer needed to build the web version of our mobile app,Fixed-price,Expert
Flutter Developer for RTSP VLC,Hourly: $25-$45,Expert
Mobile app development,Hourly: $15-$20,Intermediate
Flutter Bible Trivia Question Game - cross platform app,Hourly,Intermediate
Flutter Engineer Needed,Hourly: $5-$12,Intermediate
Thesis Project: Android and ios mobile app developer,Fixed-price,Expert
Need to create a job dispatching app,Fixed-price,Expert
"Flutter Developer Intern, 100$/Month",Fixed-price,Intermediate
We need someone to write a basic app to print on the printer.,Fixed-price,Expert
"Flutter based app for user travel tracking, map integration",Hourly: $15-$25,Intermediate
Wordpress flutter developer,Fixed-price,Expert
IoT Display App,Fixed-price,Entry level
Need a flutter developer who can develop my Application (read description),Fixed-price,Expert
Flutter No Code App - Similar to Dating App,Fixed-price,Intermediate
Looking to Buy an already built App like InDrive/Uber/Careem/Ola,Hourly,Expert
Flutter Chat App With Firebase,Fixed-price,Expert
QUICK MONEY: Flutter developer needed with experience in VPN App development,Hourly,Entry level
"Flutter Developer Intern, 100$/Month",Fixed-price,Intermediate
Flutter Developer who has developed Flutter WEB & MOBILE APP from Scratch - The stipend is 90$/Month,Fixed-price,Entry level
Ledger app for managing loans,Fixed-price,Intermediate
"We are looking for a Flutter and Wordpress developer,",Fixed-price,Intermediate
Fix flutter app,Fixed-price,Intermediate
Flutter Website - Firebase work,Hourly: $25-$50,Expert
Android + iOS (Flutter) developer for a medium project,Hourly: $5-$7,Intermediate
Flutter & PHP expert for upgrading mobile app,Fixed-price,Intermediate
Creating mobile app,Fixed-price,Intermediate
Write an App in Flutter for Android and iOS,Fixed-price,Expert
Mobile App in Flutter,Fixed-price,Expert
Create App with DhiWise 2.0 or Plugin Figma to Flutter - Car Marketplace App,Hourly,Intermediate
IOS App installation and upload on App Store Issue,Hourly: $5-$8,Intermediate
Flutter Developer needed to build IOS and Android app,Hourly,Expert
Flutter + Firebase Genius for our Web App MVP,Hourly: $10-$20,Intermediate
Senior Flutter/Dart developer for exciting app projects,Hourly: $40-$49,Expert
Woocommerce mobile app development for android and iOS,Fixed-price,Entry level
Need a nextJS developer to translate a flutter api,Fixed-price,Entry level
Full-stack flutter + .net developer,Hourly: $20-$30,Expert
Flutter / React Native App Developement from scratch,Hourly,Expert
Mobile Application,Hourly: $8-$15,Intermediate
Flutter Mobile Developer for IT company,Fixed-price,Expert
Flutter and Firebase developer,Fixed-price,Expert
Build a NFC Web/App (Backend and Frontend)(Flutter),Fixed-price,Intermediate
Need a senior professional developer for flutter Arabic Quran application,Hourly: $10-$65,Expert
WordPress news flutter app,Fixed-price,Expert
Build a mobile app using React/Flutter (audio/video player experience preferred),Hourly: $15-$30,Intermediate
Looking for a food delivery mobile app,Fixed-price,Expert
Flutter error in build apk,Hourly: $5-$6,Intermediate
Flutter App with Major Customization,Fixed-price,Intermediate
Flutter/Dart Admin Panel with ServerPod,Fixed-price,Expert
Flutter Developer with Firebase Experience Needed,Fixed-price,Expert
Mobile developer - flutter (iOS / Android) needed for an E commerce App.,Fixed-price,Expert
Support the management system,Fixed-price,Expert
Flutter developer who has rich experience in handling images and videos,Hourly: $35-$60,Intermediate
ISO of a highly skilled Mobile App Developer,Hourly: $46-$68,Intermediate
Siri Flutter App,Hourly: $10-$20,Expert
Review and improve existing app,Fixed-price,Expert
Professional UI design and flutter app developer for healthcare app,Fixed-price,Intermediate
Flutter - Front-End and UI Developer,Fixed-price,Intermediate
Flutter iOS Notification Issue,Fixed-price,Intermediate
Simple CRUD App with firebase using flutter,Fixed-price,Expert
"Improve responsive Flutter Mobile apps , and desktop website",Hourly: $37.5-$68,Expert
Senior Mobile Developer,Hourly: $30-$75,Expert
Flutter developer Needed for long term project,Hourly,Intermediate
Help me to manage notification for iOS with flutter and firebase before tomorrow night,Fixed-price,Expert
Full Stack Developer needed for Deck of Cards workout app,Hourly: $25-$45,Expert
Website & Flutter,Hourly: $25-$45,Expert
Programador Flutter - Modificar y Publicar App CodeCanyon (Spanish Only),Fixed-price,Intermediate
Develop an Islamic prayer app (Calculation-based),Fixed-price,Expert
Need a Strong Flutter Developer,Hourly: $8-$40,Expert
Looking for Flutter Expert,Fixed-price,Expert
Looking for Flutter developer,Hourly: $11-$30,Intermediate
Backend Node.js Developer,Hourly: $20-$30,Intermediate
Looking for a Flutter + Firebase Genius for our Web App MVP,Hourly: $10-$30,Intermediate
UI/UX developer required for Fintech application,Fixed-price,Intermediate
Build performant cross-platform Flutter mind mapping tool with a graph as its underlying construct,Fixed-price,Intermediate
Intergrate Chat GPT into an application for ios and android,Hourly,Expert
